iter	Passed	Remaining
0	152	152273
1	154	76886
2	155	51583
3	156	38926
4	157	31331
5	159	26379
6	160	22755
7	161	20031
8	162	17910
9	163	16226
10	165	14864
11	166	13741
12	168	12765
13	169	11919
14	171	11231
15	172	10586
16	173	10028
17	174	9521
18	177	9163
19	179	8771
20	180	8397
21	181	8081
22	183	7793
23	184	7504
24	185	7237
25	186	7005
26	188	6800
27	189	6587
28	190	6391
29	192	6208
30	193	6034
31	194	5893
32	195	5741
33	197	5597
34	198	5473
35	200	5360
36	201	5243
37	202	5126
38	203	5015
39	205	4921
40	206	4836
41	207	4740
42	208	4649
43	209	4561
44	211	4492
45	212	4417
46	214	4340
47	215	4267
48	216	4200
49	217	4139
50	218	4074
51	220	4017
52	221	3956
53	223	3907
54	224	3851
55	225	3795
56	226	3749
57	227	3696
58	229	3659
59	230	3612
60	231	3565
61	232	3519
62	233	3477
63	235	3446
64	236	3406
65	237	3366
66	238	3327
67	240	3290
68	241	3262
69	242	3226
70	243	3191
71	244	3157
72	245	3123
73	247	3097
74	248	3067
75	249	3037
76	250	3007
77	252	2979
78	253	2957
79	254	2932
80	255	2904
81	257	2877
82	257	2845
83	258	2820
84	260	2800
85	261	2775
86	262	2751
87	263	2727
88	264	2704
89	265	2686
90	266	2664
91	267	2643
92	268	2622
93	270	2602
94	271	2583
95	272	2567
96	273	2547
97	274	2528
98	275	2508
99	276	2490
100	278	2476
101	279	2459
102	280	2441
103	281	2425
104	282	2408
105	284	2396
106	285	2380
107	286	2364
108	287	2348
109	288	2333
110	289	2318
111	291	2308
112	292	2293
113	293	2278
114	294	2263
115	295	2251
116	297	2241
117	298	2229
118	299	2218
119	300	2204
120	301	2190
121	302	2179
122	303	2166
123	304	2154
124	305	2141
125	306	2128
126	308	2118
127	309	2109
128	310	2099
129	311	2087
130	312	2074
131	314	2066
132	315	2057
133	316	2047
134	317	2036
135	318	2025
136	319	2014
137	320	2004
138	322	1995
139	323	1985
140	324	1976
141	325	1965
142	326	1955
143	328	1952
144	329	1942
145	330	1933
146	331	1923
147	332	1914
148	333	1906
149	334	1897
150	335	1888
151	336	1879
152	337	1870
153	339	1862
154	340	1854
155	341	1846
156	342	1837
157	343	1829
158	344	1820
159	345	1813
160	346	1804
161	347	1796
162	348	1787
163	349	1779
164	350	1771
165	351	1764
166	352	1757
167	353	1751
168	354	1743
169	355	1735
170	356	1727
171	357	1720
172	358	1712
173	359	1704
174	359	1696
175	360	1688
176	361	1680
177	362	1673
178	363	1666
179	364	1659
180	365	1652
181	366	1646
182	367	1638
183	367	1631
184	369	1626
185	370	1619
186	370	1612
187	371	1605
188	372	1598
189	373	1591
190	374	1584
191	375	1579
192	377	1576
193	377	1569
194	378	1562
195	379	1555
196	380	1549
197	380	1542
198	381	1535
199	382	1529
200	383	1523
201	383	1516
202	384	1510
203	385	1504
204	386	1499
205	387	1495
206	388	1489
207	389	1483
208	390	1477
209	390	1470
210	391	1464
211	392	1458
212	393	1452
